,施設名,所在地
基幹避難所,豊園小学校,美園1条4丁目1-1
基幹避難所,みどり小学校,美園5条2丁目2-1
基幹避難所,月寒小学校,月寒西2条5丁目1-1
基幹避難所,南月寒小学校,月寒西4条8丁目2-1
基幹避難所,西岡小学校,西岡2条9丁目1-1
基幹避難所,西岡中学校,西岡3条12丁目1-1
基幹避難所,西岡北小学校,西岡3条6丁目7-20
基幹避難所,西岡北中学校,西岡3条8丁目1-1
基幹避難所,西岡南小学校,西岡4条12丁目7-1
基幹避難所,羊丘中学校,福住1条3丁目16-1
基幹避難所,福住小学校,福住3条5丁目1-1
基幹避難所,あやめ野小学校,月寒東1条11丁目7-32
基幹避難所,羊丘小学校,月寒東1条16丁目3-1
基幹避難所,月寒中学校,月寒東2条2丁目4-54
基幹避難所,豊平区体育館,月寒東2条20丁目4-15
基幹避難所,月寒東小学校,月寒東3条10丁目1-1
基幹避難所,あやめ野中学校,月寒東3条11丁目15-1
基幹避難所,東月寒中学校,月寒東3条18丁目1-72
基幹避難所,しらかば台小学校,月寒東4条18丁目10-43
基幹避難所,東園小学校,豊平1条12丁目1-1
基幹避難所,豊平小学校,豊平5条7丁目1-2
基幹避難所,八条中学校,豊平8条13丁目2-1
基幹避難所,旭小学校,水車町3丁目1-22
基幹避難所,中の島小学校,中の島2条1丁目1-22
基幹避難所,中の島中学校,中の島2条3丁目9-1
基幹避難所,平岸西小学校,平岸1条15丁目2-1
基幹避難所,平岸中学校,平岸1条21丁目3-1
基幹避難所,平岸小学校,平岸2条14丁目1-28
基幹避難所,東山小学校,平岸4条11丁目6-1
基幹避難所,美園小学校,平岸5条7丁目2-21
基幹避難所,平岸高台小学校,平岸5条18丁目1-1
基幹避難所,陵陽中学校,平岸6条11丁目1-25
地域避難所,北海学園札幌高校（旧札幌商業高校）,旭町4丁目
地域避難所,北海学園大学,旭町4丁目
地域避難所,北海高校,旭町4丁目
地域避難所,月寒児童会館,月寒西1条6丁目
地域避難所,札幌第一高校,月寒西1条9丁目
地域避難所,月寒神社,月寒西3条4丁目
地域避難所,月寒公民館（月寒まちづくりセンター）,月寒中央通7丁目
地域避難所,光徳寺,月寒東1条2丁目
地域避難所,札幌月寒高校,月寒東1条3丁目
地域避難所,東月寒地区センター,月寒東3条18丁目
地域避難所,東月寒白樺会館,月寒東4条18丁目
地域避難所,旭水会館,水車町6丁目
地域避難所,観照寺,西岡2条11丁目
地域避難所,西岡児童会館,西岡3条6丁目
地域避難所,札幌大学,西岡3条7丁目
地域避難所,にしおか会館（西岡まちづくりセンター）,西岡4条5丁目
地域避難所,西岡福住地区センター,西岡4条9丁目
地域避難所,中の島一区福祉会館,中の島1条1丁目
地域避難所,浄願寺,中の島1条2丁目
地域避難所,中の島会館（中の島まちづくりセンター）,中の島1条4丁目
地域避難所,中の島第三区会館,中の島2条10丁目
地域避難所,晟徳寺,中の島2条1丁目
地域避難所,中の島児童会館,中の島2条3丁目
地域避難所,北海道科学大学高等学校（旧北海道尚志学園高等学校）,中の島2条6丁目
地域避難所,豊龍寺,美園5条6丁目
地域避難所,美園会館（美園まちづくりセンター・児童会館）,美園6条5丁目
地域避難所,福住寺,福住1条1丁目
地域避難所,福住地区会館（福住まちづくりセンター）,福住1条4丁目
地域避難所,平岸三区集会所,平岸1条2丁目
地域避難所,大乗寺,平岸1条8丁目
地域避難所,平岸会館（平岸まちづくりセンター）,平岸2条7丁目
地域避難所,長専寺,平岸3条16丁目
地域避難所,浄土宗般若苑光明寺,平岸4条5丁目
地域避難所,平岸四区第一福祉会館,平岸4条5丁目
地域避難所,極楽寺平岸無常堂,平岸5条13丁目
地域避難所,札幌平岸高校,平岸5条18丁目
地域避難所,豊平区民センター,平岸6条10丁目
地域避難所,豊白支院,豊平1条2丁目
地域避難所,覚英寺,豊平1条4丁目
地域避難所,龍松禅寺,豊平3条6丁目
地域避難所,善道寺,豊平4条11丁目
地域避難所,豊平神社,豊平4条13丁目
地域避難所,経王寺,豊平4条3丁目
地域避難所,慧林寺,豊平4条8丁目
地域避難所,北海道立総合体育センター（きたえーる）,豊平5条11丁目
地域避難所,真言宗湯殿山弘周寺,豊平5条1丁目
地域避難所,豊平会館（豊平まちづくりセンター・児童会館）,豊平6条7丁目
地域避難所,豊平若者活動センター,豊平8条11丁目
